internal_id,name,bga_player_id,current_country,bga_country,status
1,Sicarius Lupus,84614791,BE,BE,ok
3,King_Jo,86761805,BE,BE,ok
4,Bangla,84582670,BE,BE,ok
5,AnTHology,85925904,BE,BE,ok
6,ludojahhjahh,94586198,BE,BE,ok
7,71Knives,84207551,BE,BE,ok
8,Learn to fly,90995279,BE,BE,ok
9,JinaJina,84635111,BE,BE,ok
10,Nicedicer,89706622,BE,BE,ok
11,Saodadje,93384429,BE,BE,ok
13,SirBuddey,96951156,BE,BE,ok
14,mobidic,84142963,BE,BE,ok
15,rally8,89164268,BE,BE,ok
16,zwonnie,86762159,BE,BE,ok
17,valmir79,84983857,BE,BE,ok
18,MarathonMeeple,84434494,BE,BE,ok
21,N2xU,39136230,BE,BE,ok
22,Carcharoth 9,92738595,BE,BE,ok
23,Defdamesdompi,1133242,BE,BE,ok
24,Dextyle,84725992,BE,BE,ok
25,speler nico,90584412,BE,BE,ok
26,Patman-Duplo,84516398,BE,BE,ok
27,Boulbaba,90707794,BE,BE,ok
33,obiwonder,84216333,BE,BE,ok
34,Philzzz,84349289,BE,BE,ok
35,JanaVDH,85530009,BE,BE,ok
38,FabianM_be,93464744,BE,BE,ok
39,Prospeir,88533470,BE,BE,ok
40,Creaviasyl,92071953,BE,BE,ok
44,CraftyRaf,65246746,BE,BE,ok
47,arinius,84991557,BE,BE,ok
48,PascalWe,89913790,BE,BE,ok
49,Antje52,92485527,BE,,not_found
50,Rafalinow,89005307,BE,BE,ok
56,Domeke,86134963,BE,BE,ok
138,alex988,86374781,BE,BE,ok
171,Boulette1205,93663137,BE,BE,ok
275,antv,93923051,BE,BE,ok
277,lizzeke86,90366653,BE,BE,ok
288,kestman82,86809925,BE,BE,ok
304,Tom Ja,85903453,BE,BE,ok
328,Bagge0,90202637,BE,BE,ok
339,Lieselotte_Gent,94427461,BE,BE,ok
344,Simply me,90052599,BE,BE,ok
346,nanouche1605,86756947,BE,BE,ok
386,Hop hop hop plus là,93441931,BE,BE,ok
436,lupper,87559224,BE,BE,ok
448,nl96be,89058185,BE,BE,ok
452,z1nz1n,85975470,BE,BE,ok
466,Baesje,95404261,BE,BE,ok
505,aurelieder,86226592,BE,BE,ok
525,Stoony13,87145919,BE,BE,ok
536,punkmonkac,97017144,BE,BE,ok
544,Bombero47,97146480,BE,BE,ok
550,KD_12,93656225,BE,BE,ok
737,yvopivo,85336855,BE,BE,ok
761,Jensgame,85426114,BE,BE,ok
866,TchoupiTom,85859987,BE,BE,ok
892,Vesnina,96951823,BE,BE,ok
903,StewFleas,89260065,BE,BE,ok
923,Helianthus clairulis,96942294,BE,BE,ok
955,pixxie,85428835,BE,BE,ok
1043,eliserob,92445647,BE,BE,ok
1112,PizzaPepperoniiiii,95580167,BE,BE,ok
1197,Pieps I,87872975,BE,BE,ok
1316,mtv4you,90129793,BE,BE,ok
1342,LoLo93,84805722,BE,BE,ok
1343,andreamea,85117538,BE,BE,ok
1344,wouterhuy,91981017,BE,BE,ok
1346,Wolf56,85906047,BE,BE,ok
1387,cruantix,88403511,BE,BE,ok
1426,manondht,93127246,BE,BE,ok
1608,Avadego,85328507,BE,BE,ok
1623,runesteam,89022959,BE,BE,ok
1666,liefkleinengeltje,94141031,BE,BE,ok
1690,Stanneke78,6749306,BE,BE,ok
1691,dolphine,83994457,BE,BE,ok
1727,KevinHoverbeke,88993550,BE,BE,ok
1729,Tabletopping,84057420,BE,BE,ok
1734,thejoker2,87859445,BE,BE,ok
1747,C0pernicus,92317919,BE,BE,ok
1760,dushi77,90498754,BE,BE,ok
1768,Victorianstar,86501911,BE,BE,ok
1808,Nicedicer44,93936181,BE,BE,ok
1816,Jimmylori,86850957,BE,BE,ok
1840,Barackleouf,90453824,BE,BE,ok
1856,papinau,85395742,BE,BE,ok
1914,M gaming,92572265,BE,BE,ok
1928,Jaelle,83858914,BE,BE,ok
1978,Rolfke,85409147,BE,BE,ok
2005,Emi3190,86300611,BE,BE,ok
2047,T72on1,85255269,BE,BE,ok
2049,BibKamp318,3619221,BE,BE,ok
2078,samvdb,88126044,BE,BE,ok
2170,GER300,84639096,BE,BE,ok
2213,gerdake1010,87987744,BE,BE,ok
2225,Driestruction,85845781,BE,BE,ok
2227,vanbaekel-,89775970,BE,BE,ok
2289,okpukpo,88869892,BE,BE,ok
2290,JSM89,91821846,BE,BE,ok
2297,rudolfensis,88328944,BE,BE,ok
2320,Pacha12,89392688,BE,BE,ok
2351,NatanRosseel,86634921,BE,BE,ok
2416,Elsgabriella76,89248959,BE,BE,ok
2424,CISP010,90591415,BE,BE,ok
2433,Cassis0,85033382,BE,BE,ok
2453,Goldenfight,463441,BE,BE,ok
2477,Wiewetda,86085769,BE,NR,MISMATCH
2546,buzz198,85774182,BE,BE,ok
2552,reuzeman,88572081,BE,BE,ok
2553,erik1erik,83867562,BE,BE,ok
2554,Bids,84966993,BE,BE,ok
2555,Red-Crow,84737318,BE,BE,ok
2563,sanghoku,88609341,BE,BE,ok
2644,Bramovitsj,84953913,BE,BE,ok
2648,liverhof,85275953,BE,BE,ok
2651,Métamorphe,85114208,BE,BE,ok
2680,Braul,85068281,BE,BE,ok
2836,kevin vds,93064989,BE,BE,ok
2846,Pinguin 62i,97276536,BE,BE,ok
2907,AnnelienN,85904246,BE,BE,ok
2908,bach01,6295414,BE,BE,ok
2980,Bacchus_Belgium,83910497,BE,BE,ok
3137,San Pedros,93588980,BE,BE,ok
3150,jumumu,85579864,BE,BE,ok
3154,ElDeeWee,87484849,BE,BE,ok
3193,Ongedwongen Argali,84566223,BE,BE,ok
3194,TamaraLaisnez,88954326,BE,BE,ok
3214,sjarkuterie,85529480,BE,BE,ok
3224,Pioooo,87151336,BE,BE,ok
3226,JuK0,89022367,BE,BE,ok
3237,CharlotteVDV,88954357,BE,BE,ok
3240,SebM79,84557513,BE,BE,ok
3398,Amed3e,96950898,BE,BE,ok
3402,LattyII,87099907,BE,BE,ok
3425,Heylen13,97148302,BE,BE,ok
3459,liesmichielsen,84716244,BE,BE,ok
3478,Nektarrr,86215269,BE,BE,ok
3528,Death Meeple,95419273,BE,BE,ok
3564,Anne-So2012,95474513,BE,BE,ok
3571,clairdefemme,93276734,BE,BE,ok
3587,Epica10,91492017,BE,BE,ok
3633,Karmabull,84708704,BE,BE,ok
3651,Huldir,91330101,BE,BE,ok
3671,6ERA6,92207580,BE,BE,ok
3677,Oliba I,99277410,BE,BE,ok
3682,itsme1,88696917,BE,BE,ok
3697,LasseVanAsse,88148470,BE,BE,ok
3723,Malaxel,85861230,BE,BE,ok
3735,pumple81,88403794,BE,BE,ok
3737,maxmorart,87044584,BE,BE,ok
3751,Nubro,85187175,BE,BE,ok
3752,Tina Fortuna,86446964,BE,BE,ok
3763,Tibidoux,84296044,BE,BE,ok
3770,Vwawa,91160953,BE,BE,ok
3804,peter73,13869223,BE,BE,ok
3806,ipsam,4930463,BE,BE,ok
3807,Torrie Henry,88338610,BE,BE,ok
3812,jelle_daems,84083394,BE,BE,ok
3813,Catharsis,97726260,BE,BE,ok
3830,Ardys61,93856357,BE,BE,ok
3835,VERONANIE,89265291,BE,BE,ok
3869,Pierre Ferson,87615922,BE,BE,ok
3901,Hurricane_Power,84991434,BE,BE,ok
3902,Liesbet_999,89888887,BE,BE,ok
3903,Engelstaub,84325501,BE,BE,ok
3915,Eldrion,14370046,BE,BE,ok
3939,KellyVDP,85378010,BE,BE,ok
3974,densis,83899174,BE,BE,ok
3994,Takkenthee,92835551,BE,BE,ok
3997,LezZ,85440401,BE,BE,ok
4015,aarcia,85107181,BE,BE,ok
4019,punschrulle,86066032,BE,BE,ok
4021,liezs,48990267,BE,BE,ok
4022,fvdmstr,86254079,BE,BE,ok
4026,Patty58,91193722,BE,BE,ok
4029,blabber123,91061886,BE,BE,ok
4036,Guzumi,83871326,BE,BE,ok
4038,SamGB,85608570,BE,BE,ok
4039,Lisa aka yoshi,88093026,BE,BE,ok
4040,Marlies2401,86089363,BE,BE,ok
4041,veter74,86062817,BE,BE,ok
4042,Tobyfrisk,85977609,BE,BE,ok
4069,Gerdan,15322944,BE,BE,ok
4187,Ti-mo,87489539,BE,BE,ok
4231,bina82,87130060,BE,BE,ok
4272,zamanana,97498938,BE,BE,ok
4329,Tatje90,89259239,BE,BE,ok
4427,Lord Sjoepoelopoelos,95306070,BE,BE,ok
4530,Hanniebal,84416181,BE,BE,ok
4613,SurferRosa,84649317,BE,BE,ok
4618,Pikipikokam,86370379,BE,BE,ok
4665,SV1987,85712941,BE,BE,ok
4713,Peter Vantroys,87267182,BE,BE,ok
4793,Bice3,86660942,BE,BE,ok
4962,EmoElo,98702855,BE,BE,ok
5069,Maarten81,84640199,BE,BE,ok
5184,groumpfy,90180890,BE,BE,ok
5394,dries19,84093562,BE,BE,ok
5411,flltk1,93615497,BE,BE,ok
5448,SuperStes,84378360,BE,BE,ok
5459,Worldofnico,84530957,BE,BE,ok
5640,Mortymeur,95312899,BE,BE,ok
5651,TheRealGrimReaper,87640618,BE,BE,ok
5684,homer248,84706344,BE,BE,ok
5708,Haeck69,88350884,BE,BE,ok
5713,elikar,94504246,BE,BE,ok
5745,BenM888,95557200,BE,BE,ok
5754,Prehisto-unicorn,85993590,BE,BE,ok
5785,feejke,86419447,BE,BE,ok
5797,loutre,7074,BE,BE,ok
5838,TanguyStark-NotHouse,94005280,BE,BE,ok
5873,HelderHeld,93494469,BE,BE,ok
5924,laurrre,92019671,BE,BE,ok
5926,Cleo_Cleo,88749531,BE,BE,ok
6002,kvp1,90194812,BE,BE,ok
6083,Seizoen,93959249,BE,BE,ok
6139,wimpers,84395209,BE,BE,ok
6158,ElienW,85920617,BE,BE,ok
6173,Youri727,85793441,BE,BE,ok
6174,Muchou,85827589,BE,BE,ok
6202,YuliaN13,93672655,BE,BE,ok
6219,Marciake,85794518,BE,BE,ok
6295,karenvdm,85656029,BE,BE,ok
6303,dootje123,88082906,BE,BE,ok
6340,SimonVssss,87744516,BE,BE,ok
6364,FragariaKiss,91773417,BE,BE,ok
6400,deserta,92038023,BE,BE,ok
6509,janneD,85604858,BE,BE,ok
6526,joris0608,85699411,BE,BE,ok
6557,Sixfeet,84957325,BE,BE,ok
6600,Raidiciu,91811329,BE,BE,ok
6605,Francis De Pauw,87025030,BE,BE,ok
6617,Podzil,1654968,BE,BE,ok
6683,Tantelie,92000327,BE,BE,ok
6697,Carcasas,92052716,BE,BE,ok
6723,Alexander7710,88068268,BE,BE,ok
6764,yourio,89361089,BE,BE,ok
6778,laetititi77,90034449,BE,BE,ok
6793,JolEva,88398081,BE,BE,ok
6810,Yoliem,89440549,BE,BE,ok
6859,boer_bruno,86685387,BE,BE,ok
6916,JulianDullers,86817602,BE,BE,ok
7099,daaike,89549467,BE,BE,ok
7160,wout1982,89147593,BE,BE,ok
7190,SamSamSomSom,84609273,BE,BE,ok
7222,EdoFruits,88774493,BE,BE,ok
7238,SGU2020,84168448,BE,BE,ok
7313,K-V-D,89525497,BE,BE,ok
7333,AnnieVee,89366112,BE,BE,ok
7450,Vincent434,93148216,BE,BE,ok
7505,scratchthemountain,84500297,BE,BE,ok
7511,Waltersss,88911944,BE,BE,ok
7514,ansoa,96787625,BE,BE,ok
7521,tini,84999113,BE,BE,ok
7533,pitch1012,86159833,BE,BE,ok
7573,DRMeke,96883539,BE,BE,ok
7583,MarieV20,91609998,BE,BE,ok
7605,Cosmicdancerforever,92404423,BE,BE,ok
7626,Mo at home,86486897,BE,BE,ok
7657,hannedeschrijver,97905110,BE,BE,ok
7679,Z3non,90195409,BE,BE,ok
7706,Daaike1,90190133,BE,BE,ok
7753,sullysefield,97677085,BE,BE,ok
7759,Lisber,89833956,BE,BE,ok
7803,Rubischat,97300817,BE,BE,ok
7805,JanaBas,91857070,BE,BE,ok
7823,LégumanZ,84652801,BE,BE,ok
7855,ingalls01,95721330,BE,BE,ok
7874,myxtiom,88207494,BE,BE,ok
7959,Bas001,85710662,BE,BE,ok
8055,AndyL82,84378230,BE,BE,ok
8064,july1304,95654098,BE,BE,ok
8066,paulpritchard,85001615,BE,BE,ok
8100,Franz Von Pyree,93970553,BE,BE,ok
8109,cairne2,85378146,BE,BE,ok
8119,jufmar20,88789912,BE,BE,ok
8181,BelgianGhost,94812203,BE,BE,ok
8185,lamou5,89714436,BE,BE,ok
8295,Nick0275,85919531,BE,BE,ok
8408,Esquire Pat,84887175,BE,BE,ok
8492,pladijs,85100902,BE,BE,ok
8522,BelgiumHC,91130926,BE,BE,ok
8647,Laurens44,87327389,BE,BE,ok
8726,Zaza20,85520504,BE,BE,ok
8736,-myrtille-,84049183,BE,BE,ok
8768,RigorMortez,84453249,BE,BE,ok
8772,BoardgameTim,84557265,BE,BE,ok
8846,julieverd,84563366,BE,BE,ok
8937,Djemmers,86937321,BE,BE,ok
8975,Rusty Cohle,88082500,BE,BE,ok
8980,syla7659,95335050,BE,BE,ok
8999,battleclo,83979504,BE,BE,ok
9067,Cloda204,94244437,BE,BE,ok
9076,SlyDog,87622918,BE,BE,ok
9180,ccxxx,94685671,BE,BE,ok
9189,Casacada,85766480,BE,BE,ok
9227,Lizzyroar,95114533,BE,BE,ok
9284,kettychile,87122070,BE,BE,ok
9285,triene76,89388458,BE,BE,ok
9370,philipervm,97008002,BE,BE,ok
9432,Drarve,96547539,BE,BE,ok
9462,Laetitia jocelyne,85983668,BE,SX,MISMATCH
9483,riri03,86625408,BE,BE,ok
9501,Juha22,95264564,BE,BE,ok
9503,Rolof07,92150639,BE,BE,ok
9533,SW1N,84841652,BE,BE,ok
9606,REF006,87687149,BE,BE,ok
9636,Wraf,91781278,BE,BE,ok
9668,Terceira,84359334,BE,BE,ok
9764,Camscarotte,91142867,BE,BE,ok
9825,Joren999,89764623,BE,BE,ok
9830,chekov,83986118,BE,BE,ok
9833,anouk23,88493265,BE,BE,ok
9854,CaptainGilliam,90127460,BE,BE,ok
9857,V006,87672402,BE,BE,ok
9883,Yummi,86310894,BE,BE,ok
9897,Myiia,86663125,BE,BE,ok
9951,Homas8800,94257400,BE,BE,ok
9958,Tavania,84662945,BE,BE,ok
10026,Evi3010,88912732,BE,BE,ok
10035,WiesjeB,88902837,BE,BE,ok
10045,JoachimH,85614468,BE,BE,ok
10070,essel,84178548,BE,BE,ok
10092,Karnsan,95723922,BE,BE,ok
10156,CharlotteDeWinnaar,89361992,BE,BE,ok
10257,Cookiemonster777,88118887,BE,BE,ok
10419,Miba72,90459443,BE,BE,ok
10558,Bert79,95764011,BE,BE,ok
10578,orevv94,94970930,BE,BE,ok
10687,erichjeuxbe72,89742048,BE,BE,ok
10718,AA Niels,89010722,BE,BE,ok
10757,Sagharmatha,87540084,BE,BE,ok
10773,Rehocip,91114948,BE,BE,ok
10793,Simon2210,85647451,BE,BE,ok
10824,Jacana56,84764544,BE,BE,ok
10843,GEOKOENDS,86489119,BE,BE,ok
10968,MaWTeN,86235676,BE,BE,ok
10998,Adri_Siffredi,86834926,BE,BE,ok
10999,NicoVers,91995287,BE,BE,ok
11046,levellerlevvie,91481493,BE,BE,ok
11109,_Sven_,85329880,BE,BE,ok
11184,Charly LaGagne,85511838,BE,BE,ok
11194,romy_bgeek,90991928,BE,BE,ok
11195,Florida Simon,90996162,BE,BE,ok
11196,2_IM_2,85826802,BE,BE,ok
11239,AmundAdv,95620062,BE,BE,ok
11257,Ordinn,85326071,BE,BE,ok
11328,Lord Kroepoek,85511774,BE,BE,ok
11358,rafki,92281568,BE,BE,ok
11372,Tom De Winter,85513137,BE,BE,ok
11392,AnjaStr,90600173,BE,BE,ok
11393,Lady Scampi,90356882,BE,BE,ok
11400,Imke01,87863458,BE,BE,ok
11401,BirteV,87886101,BE,BE,ok
11541,thomkpm,88579864,BE,BE,ok
11570,Geneviève de Jonghe,97616797,BE,BE,ok
11581,Buhlakey,91573694,BE,BE,ok
11589,Sofieke,87438606,BE,BE,ok
11594,Lieneuh,95737578,BE,BE,ok
11596,zusjezus,92910910,BE,,not_found
11779,Angeleye91,84080145,BE,BE,ok
11788,masterfynch,86580265,BE,BE,ok
11815,marmee26,93328927,BE,BE,ok
11893,ververken,84078969,BE,BE,ok
11911,Barthalie,93683592,BE,BE,ok
11955,JeroenM94,91257587,BE,BE,ok
12066,dygitaline,91014341,BE,BE,ok
12156,Hougoo,92597444,BE,BE,ok
12181,Cfcuyper,89549439,BE,BE,ok
12193,p1n0,83865935,BE,BE,ok
12246,geenszins,92251288,BE,BE,ok
12308,KTTK,84087635,BE,BE,ok
12363,bib01,86144291,BE,BE,ok
12367,AmandineC,85831472,BE,BE,ok
12387,F2xU31,92670636,BE,BE,ok
12444,Jasper68,86419343,BE,BE,ok
12492,Tanni_Weasley,87272048,BE,BE,ok
12500,edeloup,91994668,BE,BE,ok
12548,Annickette,89438068,BE,BE,ok
12608,ThatGirl101,84496996,BE,BE,ok
12625,Spelmaecker Davy,42392034,BE,BE,ok
12641,kamajast,87585330,BE,BE,ok
12728,ImkeVe,87911447,BE,BE,ok
12729,StefB84,95471439,BE,BE,ok
12794,DZOING,317834,BE,BE,ok
12812,wonderful-goose678,97219905,BE,BE,ok
12926,Adrimetum,85618165,BE,BE,ok
12935,Kire,87119233,BE,BE,ok
12955,Halfke24,90312975,BE,BE,ok
12998,Sulivan84,84547703,BE,BE,ok
13014,vivi-ane,84170574,BE,BE,ok
13112,suzy1978,90501329,BE,BE,ok
13164,Kharskette,88920136,BE,BE,ok
13186,Teofrancken15,94700632,BE,BE,ok
13192,mangoest-,94619377,BE,BE,ok
13209,ldvs,85642475,BE,BE,ok
13277,PJ Cannaert,86089452,BE,BE,ok
13365,Captain_Haddock,92937589,BE,BE,ok
13384,Britt82,93602586,BE,BE,ok
13422,BigDiD,86983168,BE,BE,ok
13423,Ellen_W,91735471,BE,BE,ok
13448,Lichaamsvocht,92509160,BE,BE,ok
13465,stefanie565,88470728,BE,BE,ok
13675,Frantine,86065895,BE,BE,ok
13679,Droopette,88351869,BE,BE,ok
13687,Tessje2010,87712109,BE,BE,ok
13776,Hapmeister,85732548,BE,BE,ok
13846,Benjiftw,87593745,BE,BE,ok
13857,Batsman4793,85732406,BE,BE,ok
13871,jonpat,85717663,BE,BE,ok
13874,Mynnah,93367143,BE,BE,ok
13899,SnifferJP,93358786,BE,BE,ok
13910,Nieln,85995004,BE,BE,ok
14007,Natacha12101991,89184857,BE,BE,ok
14009,Blondeel,86747244,BE,BE,ok
14044,Marit,85611772,BE,BE,ok
14062,G Lagaffe,98842655,BE,BE,ok
14070,StraffeFons,88649151,BE,BE,ok
14076,Smashie,87629167,BE,BE,ok
14080,Photinini,88808720,BE,BE,ok
14111,Adrienlemalin,86835344,BE,BE,ok
14129,Ibekind,86982968,BE,BE,ok
14134,The King of Rage,86850567,BE,BE,ok
